Song Name,Artists,Album,Image_Info,Times Played
16,Baby Keem,The Melodic Blue (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6b31d9de8df430efab41836', 'width': 640}",1
30 For 30 (with Kendrick Lamar),"SZA, Kendrick Lamar",SOS Deluxe: LANA,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737f5a318e3ff35defa8d0e4af', 'width': 640}",3
4X4,Travis Scott,4X4,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27374bdfbcc73b08c535b4d6564', 'width': 640}",6
5% TINT,Travis Scott,ASTROWORLD,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3', 'width': 640}",1
90210 (feat. Kacy Hill),"Travis Scott, Kacy Hill",Rodeo,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736cfd9a7353f98f5165ea6160', 'width': 640}]",4
ALL RED,Playboi Carti,ALL RED,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ca15942c726ec9c39796435e', 'width': 640}",3
ALL THE LOVE,Katy Perry,1432,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ddac71a12622bdc7e9d3e795', 'width': 640}",4
Adaptation,The Weeknd,Kiss Land,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e4860d5331509e2c9ee4de10', 'width': 640}",1
After Hours,The Weeknd,After Hours (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ef017e899c0547766997d874', 'width': 640}",2
After Party,Don Toliver,Heaven Or Hell,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27345190a074bef3e8ce868b60c', 'width': 640}",1
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)","Kali Uchis, Tyler, The Creator, Bootsy Collins",Isolation,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27390b4e1905b1fc48c537ec053', 'width': 640}",2
All I Want For Christmas Is You,"The Philly Specials, Jordan Mailata",A Philly Special Christmas Special,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273658c2550a08d95c7f23b4a57', 'width': 640}",8
All The Stars (with SZA),"Kendrick Lamar, SZA",Black Panther The Album Music From And Inspired By,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888', 'width': 640}",8
Alone Again,The Weeknd,After Hours (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ef017e899c0547766997d874', 'width': 640}",6
