Song,Artist,Listen History
Take Me Back To LA,The Weeknd,2025-01-31T09:42:46.906Z
Opening Night,The Weeknd,2025-01-31T07:35:53.352Z
Open Hearts,The Weeknd,2025-01-31T10:01:46.918Z
Hurry Up Tomorrow,The Weeknd,2025-01-31T08:40:12.777Z
Without a Warning,The Weeknd,2025-01-31T09:38:34.973Z
Red Terror,The Weeknd,2025-01-31T07:18:49.433Z
The Abyss,The Weeknd,2025-01-31T09:12:56.720Z
Drive,The Weeknd,2025-01-31T10:08:44.362Z
Give Me Mercy,The Weeknd,2025-01-31T06:38:18.430Z
Big Sleep,The Weeknd,2025-01-31T09:51:30.676Z
Take Me Back To LA,The Weeknd,2025-01-31T09:42:46.906Z
Niagara Falls,The Weeknd,2025-01-31T09:17:42.812Z
Timeless,The Weeknd,2025-01-31T09:28:39.282Z
I Can't Wait To Get There,The Weeknd,2025-01-31T08:04:55.716Z
Given Up On Me,The Weeknd,2025-01-31T08:35:23.129Z
Enjoy The Show,The Weeknd,2025-01-31T09:33:38.923Z
Reflections Laughing,The Weeknd,2025-01-31T09:57:53.405Z
Opening Night,The Weeknd,2025-01-31T05:48:22.091Z
Open Hearts,The Weeknd,2025-01-31T10:01:46.918Z
Open Hearts,The Weeknd,2025-01-31T10:01:46.918Z
Baptized In Fear,The Weeknd,2025-01-31T10:12:34.973Z
Baptized In Fear,The Weeknd,2025-01-31T10:12:34.973Z
I Can't Fucking Sing,The Weeknd,2025-01-31T09:13:07.365Z
Until We're Skin & Bones,The Weeknd,2025-01-31T09:18:03.392Z
Until We're Skin & Bones,The Weeknd,2025-01-31T09:18:03.392Z
São Paulo,The Weeknd,2025-01-31T09:47:47.055Z
São Paulo,The Weeknd,2025-01-31T09:47:47.055Z
I Can't Fucking Sing,The Weeknd,2025-01-31T09:13:07.365Z
I Can't Fucking Sing,The Weeknd,2025-01-31T09:13:07.365Z
Cry For Me,The Weeknd,2025-01-31T05:09:55.162Z
Wake Me Up,The Weeknd,2025-01-31T09:24:25.009Z
BUSS HER UP,Baby Keem,2025-01-31T04:57:25.392Z
Superman,Taylor Swift,2025-01-31T04:55:08.072Z
Fearless (Taylor’s Version),Taylor Swift,2025-01-31T04:50:33.621Z
Used (feat. Don Toliver),"SZA, Don Toliver",2025-01-31T04:41:46.814Z
out for the night,21 Savage,2025-01-31T04:39:21.511Z
Mystery Lady,"Masego, Don Toliver",2025-01-31T04:37:05.876Z
Till Dawn (Here Comes The Sun),The Weeknd,2025-01-31T04:33:19.123Z
Dark Horse,"Katy Perry, Juicy J",2025-01-31T04:28:01.283Z
The Hills,The Weeknd,2025-01-31T04:22:35.881Z
Jungle,Drake,2025-01-31T04:18:35.919Z
90210 (feat. Kacy Hill),"Travis Scott, Kacy Hill",2025-01-31T04:13:17.903Z
90210 (feat. Kacy Hill),"Travis Scott, Kacy Hill",2025-01-31T02:20:03.695Z
Love In The Sky,The Weeknd,2025-01-31T02:14:43.573Z
Wanderlust,The Weeknd,2025-01-31T02:10:17.878Z
Friends,Chase Atlantic,2025-01-31T02:05:13.438Z
ESCAPE PLAN,Travis Scott,2025-01-31T02:01:25.841Z
BUSS HER UP,Baby Keem,2025-01-31T01:58:28.595Z
Perfect,One Direction,2025-01-31T00:14:48.096Z
Famous,Kanye West,2025-01-31T00:10:59.389Z
Enjoy The Show,The Weeknd,2025-01-31T09:33:38.923Z
The Abyss,The Weeknd,2025-01-31T09:12:56.720Z
Take Me Back To LA,The Weeknd,2025-01-31T09:42:46.906Z
Opening Night,The Weeknd,2025-01-31T07:35:53.352Z
Open Hearts,The Weeknd,2025-01-31T10:01:46.918Z
Hurry Up Tomorrow,The Weeknd,2025-01-31T08:40:12.777Z
Without a Warning,The Weeknd,2025-01-31T09:38:34.973Z
Red Terror,The Weeknd,2025-01-31T07:18:49.433Z
The Abyss,The Weeknd,2025-01-31T09:12:56.720Z
Drive,The Weeknd,2025-01-31T10:08:44.362Z
Give Me Mercy,The Weeknd,2025-01-31T06:38:18.430Z
Big Sleep,The Weeknd,2025-01-31T09:51:30.676Z
Take Me Back To LA,The Weeknd,2025-01-31T09:42:46.906Z
Niagara Falls,The Weeknd,2025-01-31T09:17:42.812Z
Timeless,The Weeknd,2025-01-31T09:28:39.282Z
I Can't Wait To Get There,The Weeknd,2025-01-31T08:04:55.716Z
Given Up On Me,The Weeknd,2025-01-31T08:35:23.129Z
Enjoy The Show,The Weeknd,2025-01-31T09:33:38.923Z
Reflections Laughing,The Weeknd,2025-01-31T09:57:53.405Z
Opening Night,The Weeknd,2025-01-31T05:48:22.091Z
Open Hearts,The Weeknd,2025-01-31T10:01:46.918Z
Open Hearts,The Weeknd,2025-01-31T10:01:46.918Z
Baptized In Fear,The Weeknd,2025-01-31T10:12:34.973Z
Baptized In Fear,The Weeknd,2025-01-31T10:12:34.973Z
I Can't Fucking Sing,The Weeknd,2025-01-31T09:13:07.365Z
Until We're Skin & Bones,The Weeknd,2025-01-31T09:18:03.392Z
Until We're Skin & Bones,The Weeknd,2025-01-31T09:18:03.392Z
São Paulo,The Weeknd,2025-01-31T09:47:47.055Z
São Paulo,The Weeknd,2025-01-31T09:47:47.055Z
I Can't Fucking Sing,The Weeknd,2025-01-31T09:13:07.365Z
I Can't Fucking Sing,The Weeknd,2025-01-31T09:13:07.365Z
Cry For Me,The Weeknd,2025-01-31T05:09:55.162Z
Wake Me Up,The Weeknd,2025-01-31T09:24:25.009Z
BUSS HER UP,Baby Keem,2025-01-31T04:57:25.392Z
Superman,Taylor Swift,2025-01-31T04:55:08.072Z
Fearless (Taylor’s Version),Taylor Swift,2025-01-31T04:50:33.621Z
Used (feat. Don Toliver),"SZA, Don Toliver",2025-01-31T04:41:46.814Z
out for the night,21 Savage,2025-01-31T04:39:21.511Z
Mystery Lady,"Masego, Don Toliver",2025-01-31T04:37:05.876Z
Till Dawn (Here Comes The Sun),The Weeknd,2025-01-31T04:33:19.123Z
Dark Horse,"Katy Perry, Juicy J",2025-01-31T04:28:01.283Z
The Hills,The Weeknd,2025-01-31T04:22:35.881Z
Jungle,Drake,2025-01-31T04:18:35.919Z
90210 (feat. Kacy Hill),"Travis Scott, Kacy Hill",2025-01-31T04:13:17.903Z
90210 (feat. Kacy Hill),"Travis Scott, Kacy Hill",2025-01-31T02:20:03.695Z
Love In The Sky,The Weeknd,2025-01-31T02:14:43.573Z
Wanderlust,The Weeknd,2025-01-31T02:10:17.878Z
Friends,Chase Atlantic,2025-01-31T02:05:13.438Z
ESCAPE PLAN,Travis Scott,2025-01-31T02:01:25.841Z
BUSS HER UP,Baby Keem,2025-01-31T01:58:28.595Z
Until We're Skin & Bones,The Weeknd,2025-01-31T09:18:03.392Z
I Can't Wait To Get There,The Weeknd,2025-01-31T08:04:55.716Z
Enjoy The Show,The Weeknd,2025-01-31T09:33:38.923Z
The Abyss,The Weeknd,2025-01-31T09:12:56.720Z
Take Me Back To LA,The Weeknd,2025-01-31T09:42:46.906Z
Opening Night,The Weeknd,2025-01-31T07:35:53.352Z
Open Hearts,The Weeknd,2025-01-31T10:01:46.918Z
Hurry Up Tomorrow,The Weeknd,2025-01-31T08:40:12.777Z
Without a Warning,The Weeknd,2025-01-31T09:38:34.973Z
Red Terror,The Weeknd,2025-01-31T07:18:49.433Z
The Abyss,The Weeknd,2025-01-31T09:12:56.720Z
Drive,The Weeknd,2025-01-31T10:08:44.362Z
Give Me Mercy,The Weeknd,2025-01-31T06:38:18.430Z
Big Sleep,The Weeknd,2025-01-31T09:51:30.676Z
Take Me Back To LA,The Weeknd,2025-01-31T09:42:46.906Z
Niagara Falls,The Weeknd,2025-01-31T09:17:42.812Z
